Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Sol Ring,SLD,Secret Lair Drop,2063,normal,rare,5,106748,d582b3c3-996e-4f4b-9efd-134e127d563c,5.0,false,false,near_mint,en,USD
Cut // Ribbons,SLD,Secret Lair Drop,367,etched,rare,1,64711,94f09def-15df-4f74-9727-e5d3138bf19e,2.97,false,false,near_mint,en,USD
City of Brass,CHR,Chronicles,112,normal,rare,1,39314,61e9c770-f05b-40df-a01f-82b734db1733,21.12,false,false,played,en,USD
"Susur Secundi, Void Altar",EOE,Edge of Eternities,259,normal,mythic,1,107126,aefb8c0d-2bc6-4bec-851e-0137b4abfb22,7.11,false,false,near_mint,en,USD
Godless Shrine,RNA,Ravnica Allegiance,248,normal,rare,1,43617,ced4c824-2dfc-42ae-84e6-09f8e3f51b5b,7.52,false,false,near_mint,en,USD
Thran Dynamo,SLD,Secret Lair Drop,483,foil,rare,1,64692,186a57f5-5806-4373-90a6-0da950a11054,8.17,false,false,near_mint,en,USD
Mirage Mirror,SLD,Secret Lair Drop,7025,foil,rare,1,106932,1688c29d-307f-45e4-a57e-a8232ae824ec,7.97,false,false,near_mint,en,USD
Blade of Selves,SLD,Secret Lair Drop,1864,foil,rare,1,106303,1138ab11-ab70-44df-9691-ddee39c3ae45,6.73,false,false,near_mint,en,USD
"Ashaya, Soul of the Wild",SLD,Secret Lair Drop,2014,foil,mythic,1,105102,813057d4-ec5b-4ec4-a6ad-8f53cc49b827,11.73,false,false,near_mint,en,USD
Pathbreaker Ibex,SPG,Special Guests,91,normal,mythic,1,103609,b5118bab-a940-4549-8173-a467bc38193e,10.88,false,false,near_mint,en,USD
Jeska's Will,SLD,Secret Lair Drop,1744,normal,rare,1,100022,f2f2e39f-bf39-4b27-b211-e46b6045039d,40.34,false,false,near_mint,en,USD
"Jaxis, the Troublemaker",SLD,Secret Lair Drop,1703,foil,rare,1,94304,a41e21ba-0165-41a7-acbf-9bcaf3095e03,4.21,false,false,near_mint,en,USD
Counterspell,SLD,Secret Lair Drop,1589,foil,rare,1,103742,62504a3f-df9f-4fab-a5fc-50fc39288052,7.3,false,false,near_mint,en,USD
Authority of the Consuls,FIC,Final Fantasy Commander,232,normal,rare,1,105937,53e3fa87-8de0-4e3a-90bf-780dd0a9fb48,3.09,false,false,near_mint,en,USD
Tataru Taru,FIC,Final Fantasy Commander,30,normal,rare,1,106051,93176e85-2343-43a8-8578-69699b464b86,4.97,false,false,near_mint,en,USD
Shadow Sliver,SLD,Secret Lair Drop,624,foil,rare,1,78278,b9a757de-b218-4334-9056-e75898316adf,3.78,false,false,near_mint,en,USD
"Razaketh, the Foulblooded",HOU,Hour of Devastation,73,normal,mythic,1,4602,e14adff9-33cc-467e-b782-068854c5e7b7,10.31,false,false,near_mint,en,USD
Lantern Scout,BFZ,Battle for Zendikar,37,normal,rare,1,10314,fea3b271-226d-4223-8be8-51b5b2b7cae8,0.16,false,false,played,en,USD
Avenger of the Fallen,TDM,Tarkir: Dragonstorm,73,normal,rare,1,104984,d5397366-151f-46b0-b9b2-fa4d5bd892d8,0.77,false,false,near_mint,en,USD
Spawn-Gang Commander,MH3,Modern Horizons 3,140,normal,uncommon,1,94264,ecac9885-6f4e-4413-90dc-c8b44f883357,0.07,false,false,near_mint,en,USD
Oblivion Ring,LRW,Lorwyn,34,normal,common,1,25408,1c7fffe8-709c-4cb4-bbad-e4a0c35b616a,0.31,false,false,near_mint,en,USD
Phyrexian Ironworks,MH3,Modern Horizons 3,130,foil,uncommon,1,94863,6d64e1a8-cb4f-4968-b3e0-c9ca7c7894a3,0.25,false,false,excellent,en,USD
Siege Smash,MH3,Modern Horizons 3,136,foil,common,1,94894,f33e3b25-76f5-4263-a309-9ea97f2d8248,0.25,false,false,excellent,en,USD
Channeler Initiate,AKH,Amonkhet,160,normal,rare,1,5525,bef38c5a-07fc-477f-a1c0-70cc3ad64f96,0.25,false,false,excellent,en,USD
Kappa Cannoneer,NEC,Neon Dynasty Commander,14,normal,rare,1,66945,85a89077-b384-4fca-9d26-7297962c1541,0.65,false,false,near_mint,en,USD
Goblin Assault,ALA,Shards of Alara,101,normal,rare,1,23998,d039402e-2c74-4bea-b360-b93979b52698,0.96,false,false,near_mint,en,USD
Markov Dreadknight,SOI,Shadows over Innistrad,122,normal,rare,1,8874,fa3ed9d2-9053-4583-a226-0ab49bbdab6e,0.22,false,false,excellent,en,USD
Aethersquall Ancient,KLD,Kaladesh,39,normal,rare,2,7604,55127a25-dc64-4f26-ae50-ed7247c22ae6,0.19,false,false,excellent,en,USD
Eldrazi Repurposer,MH3,Modern Horizons 3,150,normal,common,1,94846,37f79ba7-7b65-4387-b498-f770816ce8dd,0.08,false,false,near_mint,en,USD
Kozilek's Unsealing,MH3,Modern Horizons 3,65,normal,uncommon,1,94659,e6b44ffe-db9e-4db5-9806-098411c9ece0,0.21,false,false,excellent,en,USD
Lumbering Worldwagon,DFT,Aetherdrift,422,foil,rare,1,103420,06a85032-0c45-40f7-901a-3fd77ff212a4,0.35,false,false,excellent,en,USD
Stew the Coneys,LTR,The Lord of the Rings: Tales of Middle-earth,189,foil,uncommon,1,83455,bcc7c41c-f416-457e-91ba-1f338f45eeac,0.16,false,false,near_mint,en,USD
Riverchurn Monument,DFT,Aetherdrift,57,normal,rare,1,103654,e66ff696-fd39-49ad-9ee5-c0868167df37,1.2,false,false,excellent,en,USD
Kami of Jealous Thirst,MH3,Modern Horizons 3,98,normal,common,1,94563,a2958c96-97f8-4961-813c-938b83e20d07,0.03,false,false,near_mint,en,USD
Sundering Eruption // Volcanic Fissure,MH3,Modern Horizons 3,248,normal,uncommon,2,94444,50686ac7-346c-43d1-bdaa-28d46a12ad93,0.89,false,false,near_mint,en,USD
Opal Guardian,TSP,Time Spiral,30,normal,rare,1,26870,905ad286-e70b-46cd-87fd-eec13ed2d43b,0.17,false,false,excellent,en,USD
Spectral Lynx,APC,Apocalypse,17,normal,rare,1,32439,13099abe-721e-42b4-9666-9e6b5f1d75c9,0.47,false,false,excellent,en,USD
Oracle's Attendants,NEM,Nemesis,16,normal,rare,1,33866,e2e0ea3e-9826-408d-835b-18dfecaac8af,0.19,false,false,excellent,en,USD
Strongarm Tactics,ONS,Onslaught,173,normal,rare,1,31130,57dcf434-5c67-440a-8b67-2df7307e92bd,0.3,false,false,excellent,en,USD
Ravenous Baloth,GVL,Duel Decks Anthology: Garruk vs. Liliana,8,normal,rare,1,12346,5611756f-f6c0-4fa7-9676-2c8d25863f43,0.29,false,false,excellent,en,USD
Flamerush Rider,FRF,Fate Reforged,99,normal,rare,1,12027,304107d6-d096-43a1-956f-5a3b6ed6dc60,0.22,false,false,excellent,en,USD
Wildcall,FRF,Fate Reforged,146,normal,rare,1,11980,065fc4d8-c097-4d0e-81cf-22a0b694be9a,0.19,false,false,excellent,en,USD
Deranged Outcast,DKA,Dark Ascension,112,normal,rare,1,18425,e2b35fee-8e24-4d89-ad77-d55d06bb1d7f,0.08,false,false,excellent,en,USD
Exiled Doomsayer,SCG,Scourge,13,normal,rare,1,30675,74aaf095-143a-43fc-a858-b1e82a4b906e,0.21,false,false,excellent,en,USD
Grenzo's Rebuttal,CNS,Conspiracy,33,normal,rare,1,14387,1b798ace-18e4-45fb-98ae-69528f7b5a2f,0.18,false,false,excellent,en,USD
Evangelize,TSP,Time Spiral,16,normal,rare,1,26884,0f58e1aa-587c-4f89-9552-1128c8c2da1a,0.27,false,false,excellent,en,USD
Chronosavant,TSP,Time Spiral,9,normal,rare,1,26891,d6264d4f-adf1-4d7b-b17a-fd7122e9b2cd,0.17,false,false,excellent,en,USD
Rhox,10E,Tenth Edition,291,normal,rare,1,25756,6aa50126-f6ec-4917-ac45-4b1f8f23ca09,0.56,false,false,excellent,en,USD
Arashin Foremost,DTK,Dragons of Tarkir,3,normal,rare,1,11811,1f88ecc5-df1d-47e6-8cf3-1d708e2389e4,0.26,false,false,excellent,en,USD
Daring Archaeologist,DOM,Dominaria,13,normal,rare,1,2263,306ebfe1-428d-4f38-950e-b72a44262c25,0.17,false,false,excellent,en,USD
Search the City,RTR,Return to Ravnica,49,normal,rare,1,17373,9cd77575-fedc-45b1-a53b-dfed0f34c875,0.11,false,false,excellent,en,USD
Blessed Reincarnation,DTK,Dragons of Tarkir,47,normal,rare,1,11767,401cd79d-638e-43b4-8d0c-d7af05c55a1a,0.14,false,false,excellent,en,USD
Radiant Purge,DTK,Dragons of Tarkir,31,normal,rare,1,11783,c34d94f4-c504-4cf1-9bc7-d318fbee54d7,0.21,false,false,excellent,en,USD
Hundred-Handed One,CN2,Conspiracy: Take the Crown,93,normal,rare,1,8004,489f192f-0d8a-468b-94f5-67a937e5028e,0.21,false,false,excellent,en,USD
Marang River Regent // Coil and Catch,TDM,Tarkir: Dragonstorm,51,foil,rare,1,104393,f890bdc7-32e6-4492-bac7-7cabf54a8bfd,3.94,false,false,near_mint,en,USD
Firedrinker Satyr,THS,Theros,122,normal,rare,1,15542,683eaf5a-2f43-477f-b212-70ca5fe04f13,0.19,false,false,excellent,en,USD
Jhovall Queen,MMQ,Mercadian Masques,25,normal,rare,1,34385,b8eb55cc-ddde-4f15-9262-b9aee28059d3,0.64,false,false,excellent,en,USD
Dermoplasm,LGN,Legions,35,normal,rare,1,30799,cf2f5dca-e01f-41e3-bb6f-a60162118c6d,0.23,false,false,excellent,en,USD
Saproling Infestation,INV,Invasion,208,normal,rare,1,33125,8642e530-914c-4149-944a-c4966ee27299,0.42,false,false,excellent,en,USD
Touch of the Eternal,M13,Magic 2013,37,normal,rare,1,17786,55c5f0c2-99e6-42b7-aa16-61d5815d060d,0.18,false,false,excellent,en,USD
Mindreaver,BNG,Born of the Gods,44,normal,rare,1,14916,87912ae7-3edc-4ea2-9b4b-caf2bc149ad1,0.1,false,false,excellent,en,USD
Opal Titan,USG,Urza's Saga,26,normal,rare,1,35942,379f1f01-88c6-4cc2-9049-078aa6980582,0.47,false,false,excellent,en,USD
